id,ra,dec,sp_mag_u,sp_mag_g,sp_mag_r,sp_mag_i,sp_mag_z,sp_mag_F378,sp_mag_F395,sp_mag_F410,sp_mag_F430,sp_mag_F515,sp_mag_F660,sp_mag_F861,sp_mag_err_u,sp_mag_err_g,sp_mag_err_r,sp_mag_err_i,sp_mag_err_z,sp_mag_err_F378,sp_mag_err_F395,sp_mag_err_F410,sp_mag_err_F430,sp_mag_err_F515,sp_mag_err_F660,sp_mag_err_F861,sp_A,sp_B,sp_PA,sp_radius_petro,sp_radius_50,sp_radius_90,sp_photoz,sp_photoz_odds,ls_mag_g,ls_mag_r,ls_mag_i,ls_mag_z,ls_type,lit_redshift,lit_redshift_err,lit_source,lit_velocity,lit_velocity_err,velocity_offset,dist_proj,dist
44,163.80571,-26.140797,14.91488,13.551119,12.851943,12.498031,12.236911,14.597987,14.459221,14.065353,13.948217,13.372526,12.662678,12.346686,0.012979497,0.002196882,0.001343814,0.0013846006,0.0019881134,0.014827537,0.021422626,0.012902889,0.010458615,0.005289155,0.0014406943,0.002784419,0.004283359,0.0021426934,16.680529,4.62,21.021563,53.219868,0.017,0.99851274,,,,,,0.013176,3.3e-05,NED_1996ApJS..107...97M,3950.065,9.893151,160.164,4.313234,4.055443
45,157.2054,-31.4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.328025863416866,
46,157.22566,-31.68253,16.255583,15.333219,14.861646,14.634541,14.523714,16.115837,15.699757,15.360315,15.431015,15.035731,14.656635,14.529311,0.08277154,0.017165614,0.009735072,0.009017119,0.01254452,0.060565177,0.056553975,0.04391379,0.044301234,0.026157843,0.009483064,0.015347913,0.002336868,0.0020832198,14.245526,5.9399996,19.118435,40.833755,0.011755102,0.9976652,15.4255,14.93127,14.719177,14.533114,REX,0.014443,0.00015,NED_20096dF...C...0000J,4329.902,44.968869,535.262,4.516775,4.246819
47,163.65586774862038,-25.326478035889817,18.088654,17.402979,16.98754,16.816074,16.6941,17.925505,17.981382,17.433895,17.468348,17.246492,16.754118,16.658781,0.07335172,0.021307595,0.018892132,0.026227523,0.04681494,0.080961555,0.13066949,0.071505085,0.06755734,0.046216536,0.01786901,0.05233534,0.0010105806,0.00082562806,44.913033,5.9399996,7.904377,16.742792,0.01467347,0.99789697,17.3963,16.94253,16.765203,16.639633,SER,,,,,,,4.554481304704083,
48,156.68645,-23.411083,18.119167,17.481487,16.98563,16.947079,16.909546,17.87975,17.739847,17.775194,17.361649,17.05352,16.673962,16.74358,0.08025141,0.038244218,0.024209758,0.03376694,0.062368017,0.0989453,0.1388076,0.14072339,0.09301655,0.06050603,0.021891406,0.061669573,0.0014772423,0.00064387603,55.68935,5.9399996,8.323363,20.679707,0.009489796,0.9973369,,,,,,0.012288,0.000173,NED_2003MNRAS.339..652K,3683.85,51.864095,-102.73,4.671306,4.392114
49,157.01031,-23.25628,15.016953,13.90515,13.372525,13.161156,12.959462,14.611771,14.145323,14.277393,14.138368,13.738304,13.15749,13.058235,0.015569725,0.00512864,0.00298503,0.0034860137,0.0054612868,0.016032822,0.017198035,0.018823206,0.016011354,0.009639769,0.0029539866,0.006909032,0.00404318,0.0035899563,41.77077,5.2799997,30.372595,62.488117,0.012510205,0.9981422,13.880632,13.330998,13.039261,12.866437,SER,0.012792,1e-05,NED_2003A&A...408..465M,3834.945,2.997925,46.48,4.681893,4.402069
50,162.30693,-31.304882,15.353641,14.123545,13.439153,13.088534,12.838326,15.102583,14.8787155,14.59514,14.486288,13.903957,13.202066,12.938833,0.015179722,0.003119592,0.0020989694,0.002202546,0.0032847985,0.015749484,0.018212743,0.0132832555,0.010970192,0.005747051,0.001975306,0.004326635,0.003215121,0.0017277655,26.317234,5.2799997,16.548475,41.465607,0.013918368,0.99842846,13.841485,13.093855,12.73726,12.516343,SER,0.010747,1.7e-05,NED_1998A&AS..130..333T,3221.87,5.096472,-558.946,4.685162,4.405142
51,153.6453,-27.69293,14.727945,13.681167,13.014459,12.65811,12.408197,14.719108,14.258022,14.148933,14.104395,13.576023,12.816949,12.48211,0.56962746,0.005550753,0.002930848,0.0024378053,0.0031109361,0.027548868,0.027375424,0.0215841,0.01816859,0.010085446,0.0026128283,0.0041403933,0.0030176223,0.002101302,53.735863,7.2599993,16.110909,45.805683,0.016408164,0.9980489,,,,,,0.008406,7e-06,NED_1993AJ....106.1394B,2520.055,2.098547,-1252.003,4.926514,4.63207
52,160.9508,-22.816765,15.46384,14.440021,13.898563,13.662022,13.502443,14.931932,14.988781,14.681986,14.612815,14.248721,13.644402,13.551852,0.08250294,0.008308372,0.004683135,0.004524498,0.0062435167,0.021553203,0.031967837,0.026140412,0.023175072,0.014219934,0.004301252,0.008331192,0.0026028154,0.0022612936,-74.908775,5.2799997,18.988949,44.62129,0.018510206,0.9996119,14.576779,13.960432,13.691158,13.479393,SER,0.012659,3.3e-05,NED_2003MNRAS.339..652K,3795.073,9.893151,7.105,4.951682,4.655733
53,162.74304,-23.65888,14.684872,13.6223755,13.066738,12.826551,12.623372,14.350808,14.214936,13.973466,13.845646,13.454492,12.765095,12.710358,0.036238797,0.002026967,0.0013808176,0.0016478623,0.002640428,0.007815373,0.010600083,0.008071201,0.0067617004,0.0039627007,0.0012913342,0.0034101042,0.0033010712,0.002451961,-9.622028,4.62,19.7147,47.894085,0.015510205,0.99986345,,,,,,0.013272,1.7e-05,NED_2003MNRAS.339..652K,3978.846,5.096472,188.585,4.978199,4.680665
